,Segmented cell body density (detected cells / 0.1mm3)
0.005,3.2868545828639606
0.015,28.707080670093934
0.025,31.736590932078688
0.034999999999999996,32.80725934305365
0.045,33.7269444796489
0.055,37.557613552861426
0.065,45.44010854266525
0.07500000000000001,57.22765028924519
0.085,72.72040479589673
0.095,90.55063183077638
0.10500000000000001,104.90996394908673
0.115,113.83377249236717
0.125,117.10965633036373
0.135,114.54102622403896
0.14500000000000002,107.43884032795873
0.155,99.60658845986846
0.165,93.9594404670953
0.17500000000000002,90.31887321202117
0.185,88.5962183706281
0.195,88.48968808621788
0.20500000000000002,89.47810055963436
0.215,90.44946135841278
0.225,91.54800400022965
0.23500000000000001,92.72456814456558
0.245,94.1546318068123
0.255,95.94461531902652
0.265,98.5447034274948
0.275,101.99937450643793
0.28500000000000003,106.47839790708898
0.295,111.44686644688727
0.305,115.97890991710662
0.315,118.27996379564802
0.325,117.8079314887764
0.335,114.30587843091187
0.34500000000000003,108.58334398471439
0.35500000000000004,101.43634949958219
0.365,95.27125802407352
0.375,90.89025163752534
0.385,88.55039359977637
0.395,88.06385012692924
0.405,88.64196470090015
0.41500000000000004,89.02882148693477
0.425,90.10362483445826
0.435,91.11264270883346
0.445,92.77695717256789
0.455,95.55963579787668
0.465,99.59924492003691
0.47500000000000003,104.47698641688125
0.485,110.18692952000717
0.495,116.56131085986752
0.505,122.51912920725518
0.515,127.37613959578212
0.525,129.7427141839185
0.535,129.79893761996195
0.545,127.80201438069365
0.555,123.76000443721996
0.5650000000000001,118.89706245243876
0.5750000000000001,114.54320330308992
0.585,110.87308284320035
0.595,108.40951457974683
0.605,106.78514599022822
0.615,105.92646640833169
0.625,105.04974962169896
0.635,103.31105790965943
0.645,100.86523185966476
0.655,97.36051649958
0.665,93.0707290985407
0.675,88.72136916282403
0.685,85.61763785485438
0.6950000000000001,83.6917814253547
0.7050000000000001,83.23755228255372
0.715,84.0901460162737
0.725,86.81967088695383
0.735,90.16557382229158
0.745,94.54693473628072
0.755,99.02483613683616
0.765,103.60299135578879
0.775,107.02944426437304
0.785,109.16544087603079
0.795,109.77242679510448
0.805,108.59634793138655
0.8150000000000001,105.8799897901708
0.8250000000000001,102.0285253932185
0.8350000000000001,96.68630089474621
0.845,90.22355013102435
0.855,82.81636971078741
0.865,74.83913564470559
0.875,67.29281476890914
0.885,61.57901254912283
0.895,58.13864074927948
0.905,56.746368440907965
0.915,56.87416198059362
0.925,58.30609072784189
0.935,59.66707442888601
0.9450000000000001,60.55021119772496
0.9550000000000001,60.957422137977545
0.965,61.16990399234529
0.975,61.60358797095661
0.985,62.19797888165264
0.995,62.70558624699961
