,Segmented cell body density (detected cells / 0.1mm3)
0.005,1.8695396405760865
0.015,21.50425657863921
0.025,26.835100967942665
0.034999999999999996,30.407300347416108
0.045,34.51370379335479
0.055,39.41903650937965
0.065,44.68522192573605
0.07500000000000001,51.23281918792813
0.085,58.828397750798054
0.095,66.8282633588673
0.10500000000000001,74.52412929877951
0.115,81.49957247429049
0.125,87.16926544483323
0.135,91.01119072292528
0.14500000000000002,92.5128420583698
0.155,93.39821106150751
0.165,93.8468316160612
0.17500000000000002,92.98034439575245
0.185,91.75534629937918
0.195,91.28131528697578
0.20500000000000002,91.74133899738626
0.215,92.96902308754287
0.225,93.91381372084454
0.23500000000000001,94.53721453633126
0.245,93.63425854988273
0.255,92.25430111958029
0.265,89.75958333461557
0.275,85.44509589634521
0.28500000000000003,81.19157251333348
0.295,77.50676581978583
0.305,74.29453077419016
0.315,72.39088343079975
0.325,71.84625884240963
0.335,72.19830648582037
0.34500000000000003,72.74166651880185
0.35500000000000004,74.34980196270834
0.365,76.75019516745058
0.375,79.73034609384786
0.385,83.25196259718413
0.395,88.21122621580425
0.405,94.55078197387184
0.41500000000000004,101.65838799882225
0.425,108.99098955078391
0.435,115.92864684137825
0.445,119.50602488807026
0.455,121.68965333543474
0.465,122.29901237098431
0.47500000000000003,119.5030418568987
0.485,114.58708522259813
0.495,108.74009175921786
0.505,102.94491613839045
0.515,97.61614611508935
0.525,93.0659957805686
0.535,88.90766606340712
0.545,84.9697398861076
0.555,81.37880161369493
0.5650000000000001,77.95072803542111
0.5750000000000001,75.70167361377722
0.585,73.38765815189183
0.595,71.95104423038659
0.605,71.48218268730965
0.615,71.46876790627077
0.625,71.51242981911166
0.635,71.45490215846624
0.645,71.61563885724141
0.655,71.35785656123763
0.665,70.58962560361931
0.675,70.19509361539957
0.685,70.45603285751695
0.6950000000000001,71.22543406498241
0.7050000000000001,72.47873844309511
0.715,74.53523021775356
0.725,77.30324170825736
0.735,80.2842693256041
0.745,82.9219037831014
0.755,85.16989321148108
0.765,85.99772186263365
0.775,86.96556371709376
0.785,85.95117831896951
0.795,83.47969119011327
0.805,79.5492780122618
0.8150000000000001,74.56428896693822
0.8250000000000001,69.12035853641429
0.8350000000000001,63.3302791471325
0.845,58.46717049100888
0.855,55.1040877600334
0.865,53.358402014561044
0.875,52.79648046476887
0.885,53.64481781393199
0.895,55.45256530803516
0.905,57.37842546132802
0.915,59.104041058627644
0.925,60.44078263807078
0.935,61.46305865162895
0.9450000000000001,62.23697727181994
0.9550000000000001,62.50495518313029
0.965,62.58141080992343
0.975,62.24818509738495
0.985,61.40646247415311
0.995,60.16990119564501
