,Segmented cell body density (detected cells / 0.1mm3)
0.005,8.133007671812598
0.015,17.162374462366877
0.025,20.481441581218103
0.034999999999999996,23.88526111786365
0.045,27.69988441468818
0.055,31.38146317363568
0.065,35.90239170493429
0.07500000000000001,41.050774557911794
0.085,47.4223998891609
0.095,55.813089994827024
0.10500000000000001,63.98533048154089
0.115,73.75411834866215
0.125,83.09894068000786
0.135,91.36829174003675
0.14500000000000002,98.62824056019609
0.155,103.73206463625486
0.165,106.74289035818884
0.17500000000000002,107.63597982782758
0.185,106.98919171066204
0.195,104.91165653261437
0.20500000000000002,102.24968349334506
0.215,99.27745055793011
0.225,96.42590657694734
0.23500000000000001,94.13978091583536
0.245,92.52682029336454
0.255,91.31635985092224
0.265,90.11313708997552
0.275,88.72196966840133
0.28500000000000003,86.35910618422034
0.295,83.77205047329001
0.305,80.24202457846866
0.315,76.32057555359701
0.325,72.29833070002003
0.335,68.0780860450427
0.34500000000000003,64.7786396623751
0.35500000000000004,62.61666095259892
0.365,61.73877443073339
0.375,61.84514257573825
0.385,63.37548617198032
0.395,65.97812598412519
0.405,69.24615924580426
0.41500000000000004,72.39170462918086
0.425,74.82687222645868
0.435,76.34790557032024
0.445,76.95333704017041
0.455,76.44747358331954
0.465,75.04446752053036
0.47500000000000003,73.15278660772995
0.485,70.85619597933731
0.495,69.02255657512065
0.505,67.40764450618927
0.515,66.46871062848183
0.525,65.87297316575021
0.535,66.29152122298936
0.545,68.06124874735872
0.555,70.12843325167253
0.5650000000000001,73.55012952408799
0.5750000000000001,77.33567265511888
0.585,81.96603494862912
0.595,86.7448224331485
0.605,90.46908302748227
0.615,93.74853032216177
0.625,95.82650646298707
0.635,96.80666584785769
0.645,96.52365781318292
0.655,95.45179587315025
0.665,93.71059763807304
0.675,91.27396984905931
0.685,88.48752093216827
0.6950000000000001,85.2467590649816
0.7050000000000001,82.32295524413883
0.715,78.71986271323959
0.725,75.43976362501921
0.735,72.14694045334252
0.745,69.64282857077387
0.755,67.66640716353184
0.765,66.07530161700815
0.775,65.00528221833653
0.785,64.77908698203888
0.795,64.74377058926675
0.805,65.20183991198971
0.8150000000000001,65.36291582543099
0.8250000000000001,65.64560541916153
0.8350000000000001,65.52574053917783
0.845,65.7039242867987
0.855,64.93708973709315
0.865,64.80157396426287
0.875,64.44971420498888
0.885,64.3046863838826
0.895,64.38879840928124
0.905,64.26112029183514
0.915,64.25593594941942
0.925,63.80881139995777
0.935,62.96803473760891
0.9450000000000001,62.303136849938724
0.9550000000000001,60.10144929889386
0.965,59.251871022238156
0.975,57.98365101122038
0.985,57.618026495732515
0.995,60.947843743899995
