,Segmented cell body density (detected cells / 0.1mm3)
0.005,12.223575516026317
0.015,27.24426533533544
0.025,32.7347019852486
0.034999999999999996,38.98953124359459
0.045,47.09182043422354
0.055,57.25458805922439
0.065,64.85227024493466
0.07500000000000001,71.95703045602272
0.085,75.57677657955486
0.095,76.33002138834415
0.10500000000000001,75.72393143888027
0.115,75.06832744549645
0.125,74.68969398200747
0.135,74.64289754390929
0.14500000000000002,73.80840103291492
0.155,72.71098856645041
0.165,71.41357427737084
0.17500000000000002,68.68748745768136
0.185,65.84593201942357
0.195,62.82988002213466
0.20500000000000002,59.10816445212446
0.215,55.98010736386165
0.225,53.139391243509635
0.23500000000000001,51.56785605358517
0.245,51.13519334912917
0.255,51.9722444955252
0.265,53.676193093309735
0.275,56.154028050272736
0.28500000000000003,59.02047627949568
0.295,61.46398777960338
0.305,62.555405133787964
0.315,62.559723386499904
0.325,61.11907594503686
0.335,59.823443821822494
0.34500000000000003,58.33197566423591
0.35500000000000004,57.624836224292814
0.365,57.13523107707902
0.375,56.2647113980272
0.385,55.31096390891479
0.395,53.88402113324596
0.405,53.03070303844849
0.41500000000000004,52.95096177288879
0.425,53.865308102049454
0.435,56.11989409230374
0.445,58.76681024055248
0.455,62.041840045899505
0.465,65.53189825296752
0.47500000000000003,68.99461693428087
0.485,73.43137534985425
0.495,78.10741603965357
0.505,84.6865593928911
0.515,91.20320753370459
0.525,97.23020025615854
0.535,100.12165083499686
0.545,99.17054328580706
0.555,95.52793124977666
0.5650000000000001,88.72708122101788
0.5750000000000001,83.09704315050325
0.585,77.10917717636607
0.595,71.3864592325053
0.605,66.05818102129335
0.615,61.413133038980554
0.625,58.432996053781935
0.635,55.904608573775356
0.645,55.256914780488714
0.655,55.407622966155685
0.665,56.46910630002399
0.675,57.95336749128489
0.685,60.07553982939257
0.6950000000000001,61.86466294353734
0.7050000000000001,62.43399309977954
0.715,62.104671839782625
0.725,60.08699137098089
0.735,57.54925520254231
0.745,54.782514206661766
0.755,52.4732218509724
0.765,50.35919116509956
0.775,48.479820849888895
0.785,47.97274178891469
0.795,48.87554735243844
0.805,51.59493923234878
0.8150000000000001,55.93304003444623
0.8250000000000001,60.55605925344017
0.8350000000000001,63.92525455542707
0.845,65.76531322422593
0.855,66.07554391638695
0.865,65.42667706790344
0.875,64.57937647570174
0.885,63.116688061747844
0.895,61.128067459016485
0.905,58.0429531039613
0.915,54.85809539535982
0.925,51.85191126397136
0.935,49.22248701563999
0.9450000000000001,46.989905656728645
0.9550000000000001,46.71933424381957
0.965,46.038244261673306
0.975,46.360336697807696
0.985,46.52202191375091
0.995,48.441474736586045
