,Segmented cell body density (detected cells / 0.1mm3)
0.005,29.80986877832627
0.015,20.46228777207851
0.025,22.797018882386123
0.034999999999999996,25.655977696672924
0.045,28.311066274132177
0.055,30.851556507955785
0.065,32.81695075893952
0.07500000000000001,34.73506241446264
0.085,37.066778779018264
0.095,40.260116295708244
0.10500000000000001,44.969490709891545
0.115,51.607215993648076
0.125,59.89642786791183
0.135,69.3890269238838
0.14500000000000002,78.90733071916492
0.155,87.90365499549745
0.165,94.9952790885942
0.17500000000000002,99.40905869354205
0.185,100.62784846103204
0.195,99.21435137300298
0.20500000000000002,95.42449123561256
0.215,90.29945018866688
0.225,84.66139095921673
0.23500000000000001,79.66509070406771
0.245,76.06542788384048
0.255,74.06503626582851
0.265,72.94765623909812
0.275,73.89636383812352
0.28500000000000003,74.60179822702321
0.295,75.75186958851957
0.305,76.02906150203455
0.315,75.7640212260199
0.325,73.76813103141119
0.335,70.82662312158901
0.34500000000000003,67.4559181482338
0.35500000000000004,64.11984775386695
0.365,61.146016191040175
0.375,58.57802414033806
0.385,57.07027302985207
0.395,56.54013605788944
0.405,56.84514837626707
0.41500000000000004,57.13889236928071
0.425,57.81854950018993
0.435,58.4097148169971
0.445,58.84042575683656
0.455,58.88654754040947
0.465,58.93652846800447
0.47500000000000003,58.735945451910986
0.485,58.498864024529965
0.495,57.9776740216103
0.505,57.28617091062209
0.515,56.284682386309285
0.525,55.49296852440059
0.535,54.7529629612419
0.545,55.12126023397064
0.555,56.03612064408437
0.5650000000000001,58.51133668463506
0.5750000000000001,62.29607933222089
0.585,67.05126646357711
0.595,72.67884314617561
0.605,78.28113809361169
0.615,83.92673669340532
0.625,87.90154284989589
0.635,91.20070910376525
0.645,92.43825285685858
0.655,92.46918315268469
0.665,90.70243078619288
0.675,87.60677620928975
0.685,83.54778363210762
0.6950000000000001,78.78525123914875
0.7050000000000001,73.67714923769606
0.715,68.48930957892921
0.725,63.9672024962978
0.735,60.20701827211501
0.745,57.652629654266946
0.755,55.82935963184436
0.765,55.17729753835605
0.775,54.68947800367895
0.785,54.99982193719374
0.795,55.25862109589675
0.805,55.70532154071591
0.8150000000000001,56.02303878242416
0.8250000000000001,56.61854209020672
0.8350000000000001,57.19484480970766
0.845,57.861188439198706
0.855,58.604869835307824
0.865,59.187526363761414
0.875,59.50243772987175
0.885,59.52780573824696
0.895,59.272809151899125
0.905,58.69865539280183
0.915,57.76487274003519
0.925,57.12230718985282
0.935,56.71290883867885
0.9450000000000001,56.68011945712329
0.9550000000000001,56.95255793107705
0.965,57.87752597637282
0.975,59.29122140252973
0.985,60.917953115257276
0.995,67.40376445288653
