Name,Connection Strength,Log10
"Area hOc1 (V1, 17, CalcS) left",52766.555,4.722358741072539
"Area hOc3v (LingG) left",35089.245,4.545174023790745
"Area hOc2 (V2, 18) left",28354.135,4.452616402796167
"Area hOc3d (Cuneus) left",22587.89,4.353875664114012
"Frontal-to-Occipital (GapMap) left",18824.635,4.274726564207524
"Area hOc4v (LingG) left",8132.915,3.910246233357093
"Temporal-to-Parietal (GapMap) left",4934.425,3.693236552370152
"Area hPO1 (POS) left",4177.41,3.6209071020305594
"Rt (Thalamus, reticular Nucleus) left",3038.31,3.4826320830293724
"Subc (Hippocampus, Subicular complex) left",2282.155,3.3583451376100935
"Area hOc4lp (LOC) left",2094.49,3.321078291192733
"Area Ph3 (PhG) left",1976.755,3.295952845974491
"Area Ph1 (PhG) left",1931.335,3.2858576109274167
"Area hOc4d (Cuneus) left",1769.5,3.2478505669735336
"Frontal-to-Occipital (GapMap) right",1752.315,3.243612178581537
"Area hOc1 (V1, 17, CalcS) right",1154.465,3.062380770915145
"Area STS2 (STS) left",1116.105,3.0477050537194184
"Area hOc6 (POS) left",1083.475,3.034818894901515
"Area FG3 (FusG) left",862.47,2.9357439975875717
"Area hOc2 (V2, 18) right",772.26,2.887763540692103
"Frontal-to-Temporal-II (GapMap) left",739.005,2.8686473767778615
"CGL (Metathalamus) left",656.325,2.8171189472330953
"Area hOc3d (Cuneus) right",647.095,2.810968044110882
"Area Id3 (Insula) left",642.25,2.8077041129383837
"Area Id1 (Insula) left",591.005,2.7715911550999084
"Area Ph2 (PhG) left",587.115,2.768723176160342
"PUm (Thalamus, medial pulvinar) left",572.135,2.757498516271039
"Area FG4 (FusG) left",557.74,2.746431792342245
"Area hPO1 (POS) right",555.705,2.7448443044021515
"Area FG1 (FusG) left",530.14,2.7243905737489578
"Temporal-to-Parietal (GapMap) right",500.72,2.69959493854524
"Area FG2 (FusG) left",499.415,2.698461582307273
"Area hOc4la (LOC) left",462.585,2.665191546024641
"Area 7P (SPL) right",442.56,2.6459721584292164
"PUl (Thalamus, lateral pulvinar) left",440.315,2.6437634806134334
"Area STS1 (STS) left",431.295,2.6347744234021624
"TrS (Hippocampus, Transsubiculum) left",399.78,2.60182106365178
"Area hOc4d (Cuneus) right",353.61,2.548524538251131
"VPL (Thalamus, ventral posterior lateral Nucleus) left",345.915,2.538969394844611
"Area 7P (SPL) left",338,2.5289167002776547
"Area Te 3 (STG) left",273.11,2.436337602246321
"FuP (Ventral Striatum, Fundus of Putamen) left",256.355,2.4088417924268293
"Area Fp1 (FPole) left",220.255,2.3429257760977613
"Frontal-to-Temporal-I (GapMap) left",210.48,2.3232108350776466
"Rt (Thalamus, reticular Nucleus) right",188.55,2.275426536741639
"Area hIP8 (IPS) right",185.285,2.2678402618396034
"Area TI (STG) left",178.935,2.252695297639292
"Area hIP8 (IPS) left",169.395,2.2289005871962426
"CA1 (Hippocampus) left",166.74,2.2220397971610155
"Area 7M (SPL) left",155.84,2.1926789395345403
"Area hOc3v (LingG) right",152.985,2.1846488508399284
"Area Fo3 (OFC) left",152.31,2.1827284181242677
"Area TeI (STG) left",148.895,2.17288011407945
"Area Id10 (Insula) left",147.415,2.1685416767780175
"Area hOc4lp (LOC) right",141.42,2.150510832907967
"Area PGp (IPL) left",131.47,2.11882666293329
"Ch 4 (Basal Forebrain) left",125.285,2.0978990773214536
"Area hIP7 (IPS) right",117.905,2.0715322226215185
"Area hOc4v (LingG) right",112.02,2.049295568332722
"Area 7A (SPL) right",110.88,2.0448532172677316
"PUm (Thalamus, medial pulvinar) right",105.805,2.0245061915280926
"Area Fo7 (OFC) left",86.55,1.9372670722114127
"Area CoS1 (CoS) left",86.19,1.93545688071161
"Area FG5 (FusG) left",85.565,1.9322961546858761
"Area hIP7 (IPS) left",80.76,1.9071963102716016
"Area hOc4la (LOC) right",80.715,1.906954251102175
"Area hOc6 (POS) right",79.67,1.9012948171655673
