Name,Connection Strength,Log10
"Area hOc1 (V1, 17, CalcS) right",61004.105,4.785359059910189
"Area hOc2 (V2, 18) right",37014.125,4.568367487281283
"Area hOc3d (Cuneus) right",20454.96,4.310798634565448
"Area hOc3v (LingG) right",19876.23,4.298334013589338
"Temporal-to-Parietal (GapMap) right",6970.11,3.8432396320457918
"Frontal-to-Occipital (GapMap) right",5575.885,3.7463138080633303
"Area hOc4v (LingG) right",4278.81,3.631323002122262
"Area hOc4d (Cuneus) right",4071.495,3.6097539057937844
"Area hOc4lp (LOC) right",2873.455,3.4584044002152483
"Rt (Thalamus, reticular Nucleus) right",2338.88,3.369007940203879
"Area Ph1 (PhG) right",1914.855,3.282135893143242
"Area STS2 (STS) right",1651.165,3.21779047423735
"Area Ph3 (PhG) right",1400.575,3.1463063700064406
"Frontal-to-Occipital (GapMap) left",907.14,2.957674317418929
"Area hPO1 (POS) right",847.2,2.9279859470994287
"Area hOc1 (V1, 17, CalcS) left",772.26,2.887763540692103
"Area Id3 (Insula) right",632.67,2.8011772415346137
"Area hOc4la (LOC) right",607.51,2.7835534310918724
"Area Id1 (Insula) right",572.15,2.7575099022757996
"Area hOc3d (Cuneus) left",556.335,2.7453363830195943
"Area STS1 (STS) right",549.145,2.7396870336764545
"Subc (Hippocampus, Subicular complex) right",546.065,2.737244341351534
"Area hPO1 (POS) left",501.36,2.7001496816919146
"Area FG1 (FusG) right",471.93,2.6738775857776496
"Area Te 3 (STG) right",434.51,2.637999775939676
"Area FG4 (FusG) right",425.25,2.6286443222846065
"Area Ph2 (PhG) right",356.675,2.5522726699143425
"FuP (Ventral Striatum, Fundus of Putamen) right",328.54,2.516588252805143
"TrS (Hippocampus, Transsubiculum) right",320.365,2.5056450631638976
"Area hIP7 (IPS) right",314.21,2.4972200027144873
"Frontal-to-Temporal-II (GapMap) right",297.64,2.473691295865516
"Area hOc2 (V2, 18) left",283.73,2.4529052580575206
"Area FG3 (FusG) right",274.86,2.4391115421597274
"PUm (Thalamus, medial pulvinar) right",258.95,2.4132159153539128
"CA2 (Hippocampus) right",258.83,2.4130146123342464
"Area 7P (SPL) right",238.59,2.3776522371724185
"Area Id10 (Insula) right",235.755,2.37246091222329
"Area FG2 (FusG) right",224.495,2.3512066727487357
"Area OTS1 (OTS) right",222.595,2.3475154048468587
"Area TI (STG) right",202.15,2.305673745669693
"Area Fo3 (OFC) right",189.525,2.2776665053116147
"Area Fp1 (FPole) right",183.595,2.263860849512402
"Area hOc3v (LingG) left",174.08,2.2407488780180858
"CA1 (Hippocampus) right",171.805,2.235035798848025
"Frontal-to-Temporal-I (GapMap) right",165.765,2.219492837966562
"Area hOc4lp (LOC) left",145.755,2.163623461785521
"Temporal-to-Parietal (GapMap) left",138.69,2.1420451481577443
"Area hOc4d (Cuneus) left",137.555,2.1384763812247463
"Area hOc6 (POS) right",119.895,2.0788010720255583
"Area TeI (STG) right",112.965,2.0529439066570245
"Area hOc4v (LingG) left",110.9,2.04493154614916
"Area hIP8 (IPS) left",106.755,2.028388224882607
"CGL (Metathalamus) right",102.795,2.011971990873076
"Area hIP8 (IPS) right",101.805,2.007769108247148
"Area 7P (SPL) left",97.71,1.9899390132845356
"PUm (Thalamus, medial pulvinar) left",95.155,1.978431613593692
"Area CoS1 (CoS) right",85.965,1.9343216675134307
"Astr (Amygdala) right",85.415,1.9315341452228023
"Area hOc4la (LOC) left",83.745,1.9229588869061107
"Rt (Thalamus, reticular Nucleus) left",76.745,1.8850500904274705
"Area PGp (IPL) right",75.715,1.87918192668496
"PUl (Thalamus, lateral pulvinar) right",71.2,1.8524799936368563
"Area Id9 (Insula) right",67.05,1.8263987821876178
"Area Fo7 (OFC) right",62.5,1.7958800173440752
"Area FG5 (FusG) right",54.305,1.7348398180315716
"Area FG2 (FusG) left",52.96,1.7239479764316434
"Area Op9 (Frontal Operculum) right",52.74,1.7221401254574156
"Frontal-I.1 (GapMap) right",52.415,1.7194555901325703
"Area Fo6 (OFC) right",52.21,1.7177536932107156
"Area hIP4 (IPS) right",52.135,1.717129377876929
"Subc (Hippocampus, Subicular complex) left",50.21,1.7007902213743469
"Area 7M (SPL) right",50.195,1.7006604585681717
"Area PGa (IPL) right",49.395,1.6936829897675891
"Area 7A (SPL) left",48.61,1.686725621074542
"Area Fo1 (OFC) right",48.195,1.6830019846071993
"Area hIP5 (IPS) left",46.485,1.6673128352949642
"Area 7A (SPL) right",42.965,1.6331148161284958
"Area Ia1 (Insula) right",39.825,1.600155784473169
"VPi (Thalamus, ventroposterior inferior Nucleus) right",38.18,1.581835924057648
"Area Fo4 (OFC) right",38.09,1.5808109726609463
"Area hIP7 (IPS) left",36.39,1.5609820555862355
"Area PGp (IPL) left",35.69,1.5525465479556604
"Area PF (IPL) right",32.45,1.5112147011363881
"Area PFm (IPL) right",31,1.4913616938342726
"Area Fp2 (FPole) right",30.425,1.4832305869021025
"Area Ia2 (Insula) right",30.175,1.4796472787693868
"Area FG4 (FusG) left",29.14,1.4644895474339714
"CM (Amygdala) right",26.85,1.4289442900355744
"Area hIP4 (IPS) left",26.165,1.417720739075684
"Area Ia3 (Insula) right",25.86,1.4126285205443752
"Area 7M (SPL) left",25.68,1.4095950193968156
"Area 45 (IFG) right",24.71,1.3928727454020795
"Area SFG2 (SFG) right",24.455,1.388367667157301
"Area FG3 (FusG) left",23.92,1.3787611753163733
"Area Id8 (Insula) right",23.515,1.3713449830820983
"PUi (Thalamus, inferior pulvinar) right",23.23,1.3660492098002355
"Area Te 2.2 (STG) right",20.71,1.3161800988934527
"CA3 (Hippocampus) right",20.435,1.3103746420476123
"LP (Thalamus, lateral posterior Nucleus) right",20.29,1.307282047033346
"Area Id5 (Insula) right",19.765,1.2958968186789894
"Frontal-to-Temporal-II (GapMap) left",19.385,1.2874658053432289
"Area TPJ (STG, SMG) right",19.1,1.2810333672477277
"IF (Amygdala) right",18.98,1.2782962080912739
"Area Fo2 (OFC) right",18.78,1.2736955879300922
"Area FG1 (FusG) left",18.67,1.2711443179490785
"Area Te 1.2 (HESCHL) right",17.8,1.250420002308894
"Area hIP5 (IPS) right",15.94,1.2024883170600935
"Area hIP6 (IPS) right",15.725,1.1965906541173066
"Area Id3 (Insula) left",15.375,1.1868151244474543
"Area hIP6 (IPS) left",15.19,1.1815577738627863
"VP (Ventral Pallidum) right",14.97,1.1752218003430523
"Area MFG2 (MFG) right",14.925,1.1739143398014067
"Area STS2 (STS) left",14.7,1.167317334748176
"VPL (Thalamus, ventral posterior lateral Nucleus) right",14.69,1.1670217957902564
"Area Te 2.1 (STG) right",14.025,1.1469028699281991
"Area Id6 (Insula) right",14.02,1.1467480136306398
"Area Ph2 (PhG) left",13.085,1.1167737269758997
"Area Ph1 (PhG) left",12.695,1.103632705209741
"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",12.68,1.103119253545714
