Name,Connection Strength,Log10
"Area hOc1 (V1, 17, CalcS) left",22587.89,4.353875664114012
"Area hOc2 (V2, 18) left",14546.57,4.162760601178809
"Area hOc3d (Cuneus) left",11701.935,4.068257681433243
"Area hOc4lp (LOC) left",7291.875,3.8628392152111974
"Area hOc4d (Cuneus) left",5598.295,3.7480557797136678
"Area hOc3v (LingG) left",4028.095,3.605099704555179
"Frontal-to-Occipital (GapMap) left",4010.155,3.603161159239569
"Area hPO1 (POS) left",3609.225,3.5574139569313656
"Area hOc4v (LingG) left",3177.255,3.502052071814456
"Area hOc4la (LOC) left",1925.67,3.284581864585825
"Temporal-to-Parietal (GapMap) left",1810.875,3.257888473128065
"Rt (Thalamus, reticular Nucleus) left",1775.45,3.249308446263173
"Frontal-to-Occipital (GapMap) right",1456.75,3.1633850267621875
"Area hOc1 (V1, 17, CalcS) right",708.09,2.850088461106817
"Area FG2 (FusG) left",651.29,2.813774410005558
"Subc (Hippocampus, Subicular complex) left",617.035,2.7903097991641266
"Area hOc2 (V2, 18) right",556.335,2.7453363830195943
"Area hOc3d (Cuneus) right",515.705,2.7124013421142634
"Area hIP7 (IPS) left",491.855,2.6918370906104228
"Area hIP4 (IPS) left",488.34,2.688722298864902
"Area STS2 (STS) left",486.67,2.6872345756743266
"Area hPO1 (POS) right",479.275,2.680584775861777
"Area 7P (SPL) right",379.86,2.579623563905115
"Temporal-to-Parietal (GapMap) right",377.3,2.5766868052009957
"Area STS1 (STS) left",348.6,2.5423273827739745
"Area Id1 (Insula) left",311.535,2.49350684538678
"Area Te 3 (STG) left",293.475,2.46757111129238
"Area hOc4d (Cuneus) right",285.295,2.455294160400723
"VPL (Thalamus, ventral posterior lateral Nucleus) left",259.12,2.4135009350021206
"Area FG3 (FusG) left",249.31,2.3967396987112286
"Area FG1 (FusG) left",247.27,2.3931714288368897
"Area Id3 (Insula) left",247.08,2.392837592665656
"CGL (Metathalamus) left",240.725,2.3815211953778284
"Area 7P (SPL) left",228.73,2.3593231299762074
"PUl (Thalamus, lateral pulvinar) left",216.825,2.3361093550623577
"Area hIP8 (IPS) left",216.37,2.3351970450775617
"Area FG4 (FusG) left",203.935,2.3094917672319335
"Area Ph1 (PhG) left",192.89,2.285309713090267
"PUm (Thalamus, medial pulvinar) left",190.09,2.2789592706842177
"Area PGp (IPL) left",186.57,2.270841811533186
"Frontal-to-Temporal-II (GapMap) left",168.405,2.226354981701477
"Area hIP8 (IPS) right",156.81,2.195373754817413
"Rt (Thalamus, reticular Nucleus) right",146.155,2.164813677273105
"Area Ph3 (PhG) left",143.515,2.156897295333269
"Area TeI (STG) left",127.02,2.1038721084030554
"Area Ph2 (PhG) left",122.67,2.0887383652739984
"Area hIP5 (IPS) left",120.84,2.0822107166012427
"Area TI (STG) left",112.21,2.050031562368402
"Area hOc4lp (LOC) right",107.825,2.0327194668179893
"Area hOc6 (POS) left",104.65,2.0197392326747052
"Area hIP7 (IPS) right",102.31,2.0099180846659013
"Area hOc3v (LingG) right",101.49,2.006423252507643
"Area 7A (SPL) right",83.38,1.9210618907902786
"Area 7M (SPL) left",83,1.919078092376074
"Area hOc4v (LingG) right",81.765,1.912567441083378
"Area 7A (SPL) left",81.22,1.9096629851540181
"Area hOc5 (LOC) left",79.445,1.9000665693754857
"Area hOc4la (LOC) right",68.31,1.8344842853348053
"Area Te 2.2 (STG) left",66.96,1.8258154449852035
"PUm (Thalamus, medial pulvinar) right",59.885,1.777318053891376
"Area Te 2.1 (STG) left",57.325,1.7583440634019765
"TrS (Hippocampus, Transsubiculum) left",56.985,1.7557605526104016
"Area hOc6 (POS) right",56.975,1.7556843338524133
"FuP (Ventral Striatum, Fundus of Putamen) left",54.12,1.7333577879255853
"Area 7M (SPL) right",51.665,1.7131964337252483
"Area Fp1 (FPole) left",48.5,1.6857417386022637
"Area STS2 (STS) right",47.93,1.6806074289917878
"VIM (Thalamus, ventral intermediate Nucleus) left",47.465,1.6763734852094534
"Frontal-to-Temporal-I (GapMap) left",45.56,1.6585837154070628
"Area PGp (IPL) right",45.475,1.657772707735521
"Area TPJ (STG, SMG) left",43.43,1.637789829362229
"LP (Thalamus, lateral posterior Nucleus) left",37,1.568201724066995
"Area FG4 (FusG) right",34.33,1.53567380342575
"Area Id10 (Insula) left",32.045,1.5057602759200857
"Area Ig2 (Insula) left",31.68,1.500785172917456
"CA1 (Hippocampus) left",31.48,1.498034723687027
"Area Fo3 (OFC) left",31.4,1.4969296480732148
"Subc (Hippocampus, Subicular complex) right",30.63,1.4861469968065726
"Area hIP4 (IPS) right",30.52,1.4845845292828428
"Ch 4 (Basal Forebrain) left",28.635,1.4568971874493482
"Area PFm (IPL) left",27.155,1.4338498071286463
"Area Id3 (Insula) right",26.625,1.425289616446794
"Area hIP5 (IPS) right",26.58,1.4245549766067132
"Area hIP6 (IPS) left",25.535,1.4071358621915588
"Area Id1 (Insula) right",23.875,1.377943380255784
"VPi (Thalamus, ventroposterior inferior Nucleus) left",23.76,1.375846436309156
"Area FG2 (FusG) right",23.045,1.3625767124605392
"Area Te 3 (STG) right",22.78,1.3575537197430816
"Area Ig1 (Insula) left",22.445,1.3511196097376716
"CA2 (Hippocampus) right",22.35,1.3492775274679554
"Area hIP6 (IPS) right",20.51,1.3119656603683663
"Area Ph1 (PhG) right",20.5,1.3117538610557542
"Area CoS1 (CoS) left",19.005,1.2788678739391226
"Area FG5 (FusG) left",18.835,1.2749656245392864
"FuP (Ventral Striatum, Fundus of Putamen) right",17.985,1.2549104421545298
"Area Fo7 (OFC) left",17.72,1.248463717551032
"Area Te 1.2 (HESCHL) left",17.33,1.2387985627139169
"Area PGa (IPL) left",16.985,1.2300655512060468
"Area STS1 (STS) right",16.38,1.2143138974243997
"Area 8v1 (MFG) left",14.915,1.1736232576980814
"Area PFcm (IPL) left",14.48,1.160768561861128
"Area 44 (IFG) left",14.44,1.1595671932336202
"Frontal-to-Temporal-II (GapMap) right",14.425,1.159115821827769
"Frontal-I.1 (GapMap) left",14.36,1.1571544399062814
"Area 6v1 (PreCG) left",14.19,1.151982395457474
"Area Fo1 (OFC) left",13.67,1.1357685145678222
"CA1 (Hippocampus) right",13.64,1.13481437032046
"Area FG3 (FusG) right",13.32,1.1245042248342823
"Area Ph2 (PhG) right",13.23,1.121559844187501
"PUi (Thalamus, inferior pulvinar) left",13.13,1.1182647260894794
"Area Te 1.0 (HESCHL) left",12.655,1.102262149494273
"Area OTS1 (OTS) left",12.2,1.0863598306747482
"Frontal-II (GapMap) left",12.11,1.0831441431430522
"Area FG1 (FusG) right",11.915,1.0760940466824749
"Area hIP3 (IPS) right",11.88,1.0748164406451748
"CM (Amygdala) left",11.805,1.072065991414746
"Area Ph3 (PhG) right",10.955,1.0396123818967242
"Area Te 1.1 (HESCHL) left",10.5,1.021189299069938
"Area Fp2 (FPole) left",10.465,1.0197392326747052
"Area OTS1 (OTS) right",10.45,1.0191162904470727
"Area Fo6 (OFC) left",9.98,0.9991305412873711
"IF (Amygdala) left",9.575,0.9811387826406603
"Area SFG2 (SFG) left",9.38,0.9722028383790645
"Area 6v2 (PreCG) left",9.285,0.9677819080757992
"Area Ia1 (Insula) left",9.105,0.9592799501309388
"BST (Basal Forebrain, Bed Nucleus) left",8.975,0.9530344572503567
"Astr (Amygdala) left",8.935,0.9510945568416631
"TrS (Hippocampus, Transsubiculum) right",8.86,0.9474337218870508
"ZI (Thalamus, zona incerta) left",8.84,0.9464522650130731
"Area Fo4 (OFC) left",8.555,0.9322200138771191
"Area 6d2 (PreCG) left",8.42,0.9253120914996495
"Area 3b (PostCG) left",8.38,0.9232440186302765
"Area PGa (IPL) right",8.37,0.92272545799326
"Area Op9 (Frontal Operculum) left",8.35,0.921686475483602
"Area Id10 (Insula) right",8.25,0.9164539485499251
"Ch 123 (Basal Forebrain) left",7.95,0.9003671286564703
"Area PF (IPL) left",7.935,0.899546931090867
"Area SFG3 (SFG) left",7.86,0.895422546039408
"SNC (Midbrain, Substantia Nigra pars compacta) left",7.595,0.8805277781988051
"PUl (Thalamus, lateral pulvinar) right",7.37,0.8674674878590515
"Area 45 (IFG) left",7.315,0.8642143304613297
"Area 8d1 (SFG) left",7.295,0.8630252962294704
"Area Id6 (Insula) left",7.24,0.859738566197147
"Area MFG4 (MFG) left",6.93,0.8407332346118067
"Area PFm (IPL) right",6.865,0.8366405415727739
"Area 6v3 (PreCG) left",6.86,0.8363241157067517
"Area Ia2 (Insula) left",6.84,0.8350561017201162
"Area hIP3 (IPS) left",6.615,0.8205298485235198
"Area Id8 (Insula) left",6.555,0.816572696026103
"Area Ia3 (Insula) left",6.445,0.8092229216894219
"Area Te 2.2 (STG) right",6.42,0.8075350280688532
"Area PF (IPL) right",6.26,0.7965743332104297
"Area 6d1 (PreCG) left",6.245,0.7955324427101543
"Area 5L (SPL) right",6.225,0.794139355767774
"VLP (Thalamus, ventral lateral posterior Nucleus) left",6.055,0.782114147479071
"Area TI (STG) right",5.88,0.7693773260761385
"Area Id5 (Insula) left",5.7,0.7558748556724915
"Area Fo2 (OFC) left",5.595,0.7478000908643688
"Area 7PC (SPL) right",5.595,0.7478000908643688
"VP (Ventral Pallidum) left",5.385,0.7311857076340004
"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",5.32,0.7259116322950482
"Area SFG4 (SFG) left",5.315,0.7255032688593156
"Area 6d3 (SFS) left",5.3,0.724275869600789
"CGL (Metathalamus) right",5.175,0.7139103541289553
"Area 1 (PostCG) left",5.075,0.7054360465852505
"Area 5L (SPL) left",5.04,0.7024305364455253
"Frontal-I.2 (GapMap) left",4.925,0.6924062348336305
"Area Fo3 (OFC) right",4.91,0.6910814921229684
"Area 5M (SPL) right",4.885,0.6888645680547919
